date,value
2016-01,19.043022505444863
2016-02,28.83453546881476
2016-03,34.814628601111494
2016-04,30.799196985336412
2016-05,26.430170026859397
2016-06,22.17877675042349
2016-07,19.032903930538172
2016-08,19.804283603523864
2016-09,30.04098371030508
2016-10,24.75
2016-11,35.71126465390865
2016-12,39.01074620277026
2017-01,36.80289102202146
2017-02,16.316738816738816
2017-03,39.61352657004831
2017-04,37.099999999999994
2017-05,20.7484375
2017-06,16.519834656084655
2017-07,15.871914682539682
2017-09,36.89434523809524
2017-10,28.0004349359361
2017-11,38.020017061828206
2017-12,25.10599152148591
2018-01,39.16249388972703
2018-02,63.6573168867144
2018-03,49.73075034485638
2018-04,32.734019443832594
2018-05,26.561980171980704
2018-06,23.222779251323303
2018-07,24.41027210281596
2018-08,27.024451587906967
2018-09,28.687833049758108
2018-10,44.88899772570425
2018-11,48.42812330269957
2018-12,33.06699476495574
2019-01,38.6799587035814
2019-02,38.84223922929488
2019-03,27.13921742423726
2019-04,34.515399229214864
2019-05,19.030963766756894
2019-06,21.86392049988647
2019-07,17.977986652390648
2019-08,19.125969019381383
2019-09,19.294789077858052
2019-10,29.928251728873292
2019-11,29.885898730927217
2019-12,29.580717568830686
2020-01,36.158513178553186
2020-02,19.760240659343715
2020-03,32.4651411573807
2020-04,29.095073717190676
2020-05,16.50492489857799
2020-06,17.067778391250364
2020-07,15.742197111868125
2020-08,18.735888070188768
2020-09,21.189673679254835
2020-10,22.596277847802206
2020-11,30.360910051787528
2020-12,32.58223726359107
2021-01,33.50346406095028
2021-02,50.09611597961857
2021-03,36.21480485981821
2021-04,23.857944195328646
2021-05,16.19788336385369
2021-06,22.297544540894748
2021-07,20.814853527069868
2021-08,14.920867512637832
2021-09,19.7957137088921
2021-10,28.423740414018795
2021-11,27.588011603266068
2021-12,35.147660422589304
2022-01,24.734794131933377
2022-02,20.140205739733535
2022-03,44.56410171847848
2022-04,22.52978958703896
2022-05,20.240352183585955
2022-06,17.564776050292178
2022-07,15.603667645024164
2022-08,20.680638472037696
2022-09,16.469531268783825
2022-10,26.178792879623913
2022-11,31.41014512827852
2022-12,30.37863323764837
2023-01,23.085965475628452
2023-02,28.057689862720174
2023-03,23.127473028070753
2023-04,21.175516931202672
2023-05,19.681609638538898
2023-06,18.891563403781923
2023-07,16.638240960869126
2023-08,17.053812407266648
2023-09,21.068541701310206
2023-10,19.035417425933495
2023-11,17.489060115468096
2023-12,25.700134980791958
2024-01,24.59373909382308
2024-02,21.643332300401084
2024-03,32.39711196167205
2024-04,21.596848302878957
2024-05,19.35410183773902
2024-06,16.200182597324414
2024-07,15.60561577028726
2024-08,18.326535258405283
2024-09,25.337745505399944
2024-10,22.038904315333927
2024-11,24.194089298927164
2024-12,25.975397122832653
2025-01,24.960978094758158
2025-02,42.615296218061935
2025-03,34.544594379133486
2025-04,19.761370919524982
2025-05,13.892823178144585
2025-06,14.043906136199018
2025-07,13.807222395258226
2025-08,16.06740622094449
2025-09,14.058845658028474
2025-10,15.393039994630062
2025-11,24.611226577563773
2025-12,26.055540689157684
2026-01,41.88957729805261
2026-02,30.987394796869523
