date,value
2016-01,15.099703086768304
2016-02,22.6801112662149
2016-03,23.925295122592985
2016-04,24.175464868774135
2016-05,22.72850389336131
2016-06,21.429049797976443
2016-07,20.60466308041343
2016-08,21.579869515968884
2016-09,24.98246135940476
2016-10,9.83125
2016-11,20.918909972558446
2016-12,22.769316485656706
2017-01,20.80053935817353
2017-02,15.559181096681096
2017-03,22.432129917184263
2017-04,24.87708333333333
2017-05,17.685777529761907
2017-06,14.17211574074074
2017-07,15.443501984126986
2017-09,14.833725820294449
2017-10,16.215993672511452
2017-11,21.629293814086385
2017-12,20.490008838698852
2018-01,21.415661404488354
2018-02,29.71219177199204
2018-03,27.305231190103893
2018-04,18.746837506608422
2018-05,17.625270902454126
2018-06,15.184679702518618
2018-07,13.206138881639099
2018-08,15.55000124260597
2018-09,16.91613287929273
2018-10,17.609467759886524
2018-11,21.250062012389836
2018-12,18.67908878337626
2019-01,19.76364558226717
2019-02,21.405598912941823
2019-03,16.360752417194558
2019-04,16.913903774948157
2019-05,14.051343956059652
2019-06,12.533172039549736
2019-07,12.386983741455369
2019-08,15.223891337886494
2019-09,14.600931784656154
2019-10,18.777265620759493
2019-11,17.719075142141186
2019-12,18.41634884681257
2020-01,19.98561644720811
2020-02,14.711193109540067
2020-03,16.86222795295039
2020-04,14.912257680367672
2020-05,12.135626240872934
2020-06,11.472822758573447
2020-07,12.46730321935585
2020-08,13.31042029503511
2020-09,16.64903029022253
2020-10,14.930780176443292
2020-11,16.388642840877857
2020-12,17.183532515997477
2021-01,19.69660595898691
2021-02,24.53255873788144
2021-03,19.58848862275693
2021-04,14.980067765313139
2021-05,13.041298805320107
2021-06,15.09989272619109
2021-07,12.448036198613579
2021-08,13.547751700900381
2021-09,14.99251927048847
2021-10,17.382036945395907
2021-11,17.58665813572542
2021-12,20.630347583176665
2022-01,15.911431966589896
2022-02,14.87061241396099
2022-03,23.255303540717925
2022-04,15.69344504673245
2022-05,14.28627236369479
2022-06,12.790028457405093
2022-07,11.129320893210382
2022-08,12.804725811837477
2022-09,13.282562016270834
2022-10,15.973743281135377
2022-11,17.02419206752723
2022-12,17.715143454859955
2023-01,15.165636623126227
2023-02,15.416485865066312
2023-03,15.996046764178358
2023-04,14.523210468594398
2023-05,12.873193997069356
2023-06,12.473531117701997
2023-07,12.842432455455098
2023-08,12.858173510134174
2023-09,16.660268575581835
2023-10,13.731000338462914
2023-11,13.777109246613836
2023-12,16.600042028196775
2024-01,17.471914861695858
2024-02,15.36291617961167
2024-03,15.059192949983533
2024-04,13.481522536224896
2024-05,12.583236950285732
2024-06,11.251865856127463
2024-07,11.417563107086732
2024-08,13.349622824407827
2024-09,13.825527269036069
2024-10,15.351239859816936
2024-11,15.647885065522315
2024-12,15.872079865408152
2025-01,17.174776144105753
2025-02,20.43622901489541
2025-03,19.37036436487808
2025-04,13.062044233963357
2025-05,11.539425053840564
2025-06,10.298832782615987
2025-07,10.926753190128906
2025-08,12.048980821140402
2025-09,11.71294911992737
2025-10,12.659245980638476
2025-11,16.99053315044825
2025-12,16.155138610072207
2026-01,21.498412020750667
2026-02,18.175783547229543
