date,value
2016-01,13.960151985695465
2016-02,24.236286788192174
2016-03,29.140328003051692
2016-04,20.112765110554207
2016-05,15.669332943237222
2016-06,11.405930814354727
2016-07,10.79588634542176
2016-08,11.384111279090241
2016-09,16.995122401135863
2016-11,32.35317425137929
2016-12,34.172365248839554
2017-01,30.124309021262246
2017-02,13.998556998557
2017-03,33.80045351473923
2017-04,22.77725779967159
2017-05,16.46831597222222
2017-06,11.958035714285716
2017-07,12.390714285714285
2017-09,31.10901385407964
2017-10,22.03818713882631
2017-11,30.824001133944282
2017-12,26.242759298879655
2018-01,36.837964039057404
2018-02,63.265140492267214
2018-03,42.56977528825776
2018-04,21.802705811463802
2018-05,17.164079202643876
2018-06,15.332094603807823
2018-07,15.659775483272178
2018-08,18.18158750943085
2018-09,19.885252179170944
2018-10,32.9729889735868
2018-11,44.20321917106591
2018-12,27.49486052719143
2019-01,33.03779637686248
2019-02,30.773637822671997
2019-03,20.35038326932278
2019-04,20.87708542154017
2019-05,12.863838767947021
2019-06,12.073036262425951
2019-07,9.87275140511674
2019-08,11.270171601798248
2019-09,12.730025983441385
2019-10,22.40469742080164
2019-11,24.287758734764513
2019-12,24.097580487525192
2020-01,29.0766384233368
2020-02,15.446128028357204
2020-03,25.442354576684078
2020-04,17.82647921246203
2020-05,10.899891468539836
2020-06,11.031946067827644
2020-07,8.860666310363492
2020-08,10.813273982734705
2020-09,13.068117651238936
2020-10,16.51978137740822
2020-11,24.68468950222102
2020-12,27.404560585423294
2021-01,31.29140326868498
2021-02,40.50877013948479
2021-03,27.230902524647114
2021-04,16.68996377640127
2021-05,9.893387454717551
2021-06,12.428051668119679
2021-07,12.281457626614985
2021-08,8.687208238936106
2021-09,12.234847949718631
2021-10,19.40079298911002
2021-11,22.214542594269933
2021-12,28.545626905385085
2022-01,19.599035630780655
2022-02,14.695889060096658
2022-03,32.09961517224952
2022-04,15.138397600628734
2022-05,10.454119616703558
2022-06,10.411048665284191
2022-07,7.736016195113917
2022-08,11.200620690129803
2022-09,10.577980609972093
2022-10,17.16528017424917
2022-11,24.195955028316884
2022-12,24.464980321345976
2023-01,18.61584592150502
2023-02,21.36615036332234
2023-03,16.935897025282227
2023-04,15.133542695289485
2023-05,11.252418567844337
2023-06,10.92207754339361
2023-07,9.092883148819688
2023-08,10.79632062614534
2023-09,13.169705175421175
2023-10,12.232272222715224
2023-11,14.343288593129074
2023-12,21.34188490209505
2024-01,22.441531151159126
2024-02,16.84364037856005
2024-03,23.16493795646507
2024-04,12.358229385013727
2024-05,9.91496929913306
2024-06,9.57748896265534
2024-07,8.558143835653649
2024-08,10.407771461740646
2024-09,14.139795214770324
2024-10,15.598548084594597
2024-11,19.207070752105633
2024-12,20.97811112054179
2025-01,19.575979500614807
2025-02,33.95515807828312
2025-03,24.656767980108135
2025-04,11.053114691983613
2025-05,8.231535415691924
2025-06,8.154785481049474
2025-07,8.109998075625588
2025-08,8.217230476241427
2025-09,8.798692972725018
2025-10,11.151208238254458
2025-11,20.204841917958102
2025-12,21.383207919991523
2026-01,36.19329277749006
2026-02,25.815133482970793
