date,value
2016-11-17,26.64565217391304
2016-11-18,27.51742602183757
2016-11-19,19.1195453372123
2016-11-20,12.899219982176948
2016-11-21,11.026883019862344
2016-11-22,12.918167293233084
2016-11-23,12.306441132264329
2016-11-24,13.0334375
2016-11-25,13.094797799294328
2016-11-26,13.740867553348991
2016-11-27,13.65513821427746
2016-11-28,19.658366827164983
2016-11-29,17.736544330640495
2016-11-30,15.614165371657387
2016-12-01,18.909463055043037
2016-12-02,21.818168724279836
2016-12-03,17.38443642776976
2016-12-04,18.86853871565186
2016-12-05,25.984453596353323
2016-12-06,16.922757906581435
2016-12-07,22.70535517466073
2016-12-10,21.616675824175825
2016-12-11,18.297154160577275
2016-12-12,23.586496708959277
2016-12-13,26.036403611655533
2016-12-14,22.54683248363073
2016-12-15,28.02406336756609
2016-12-16,21.15226589691313
2016-12-17,15.638794063079777
2016-12-18,13.964132978747658
2016-12-19,14.218272511496812
2017-01-05,23.327144696282318
2017-01-06,17.784064814814815
2017-02-18,31.36905545112782
2017-02-19,27.211804006246037
2017-02-20,28.237992762689856
2017-02-21,37.50285876012936
2017-02-22,41.92554794520548
2017-02-23,78.85153120517663
2017-02-24,47.70070222175595
2017-02-25,34.71031331146979
2017-02-26,36.981394002913824
2017-02-27,30.691756596881383
2017-02-28,15.128295012936766
2017-03-01,14.797863927257714
2017-03-02,21.860539164580768
2017-03-03,22.98683819340483
2017-03-04,13.005693467859372
2017-03-05,14.08632093311633
2017-03-06,19.20034133663494
2017-03-07,19.225069668506688
2017-03-08,17.71410695107785
2017-03-09,24.81128085278594
2017-03-10,31.04397952047952
2017-03-12,29.539733860478787
2017-03-13,20.432575745578777
2017-03-14,24.89684351890764
2017-03-15,33.25710134412736
2017-03-16,40.30865836349181
2017-03-17,47.782592189694576
2017-03-18,44.60363497219105
2017-03-19,43.02501632675256
2017-03-20,40.423294758802925
2017-03-21,31.437664717523216
2017-03-22,28.52643156967517
2017-03-23,15.8442304551519
2017-03-24,11.101634615384617
2017-03-27,27.35553055638077
2017-03-28,25.23145276733356
2017-03-29,28.317740913172702
2017-03-30,21.83664854686384
2017-03-31,21.195502343448567
2017-04-01,12.882571106603343
2017-04-02,12.82165789415217
2017-04-03,17.103645642833794
2017-04-04,20.100078219808843
2017-04-05,16.244708666959
2017-04-06,22.22626862025008
2017-04-07,23.163223903846283
2017-04-08,23.8626895315815
2017-04-09,21.428314032527627
2017-04-10,24.33287945958238
2017-04-11,24.37413215240561
2017-04-12,24.75307297281051
2017-04-13,26.574103894638537
2017-04-14,29.116510255728357
2017-04-16,22.44782608695652
2017-04-17,26.240335941653377
2017-04-18,28.506751540309107
2017-04-19,29.091277306541784
2017-04-20,29.11389990960676
2017-04-21,27.98112190936336
2017-04-22,20.06862943287461
2017-04-23,25.86061855670103
2017-04-24,26.81475965965309
2017-04-25,26.62231592230865
2017-04-26,26.17576701799368
2017-04-27,16.326408858043084
2017-04-28,15.57311885020408
2017-04-29,23.83964523409296
2017-05-02,28.68443774132066
2017-05-03,24.70306280193237
2017-05-04,25.26210992907801
2017-05-10,14.21912
2017-05-11,25.77432036233292
2017-05-12,19.69348036455705
2017-05-13,55.66666666666666
2017-05-14,22.320337039731797
2017-05-15,15.200726061228302
2017-05-16,18.12777114012235
2017-05-17,18.25863188165709
2017-05-18,12.0114228710808
2017-05-21,26.12483870967742
2017-05-22,20.301935949355304
2017-05-24,28.433725236944856
2017-05-25,36.971939735830425
2017-05-26,34.62555108049135
2017-05-27,33.383316531923185
2017-05-28,36.87803885668541
2017-05-29,29.17837681219758
2017-05-30,22.237711691201856
2017-05-31,27.6132598594326
2017-06-01,31.625300692202973
2017-06-02,31.97387711717234
2017-06-03,25.88426225454045
2017-06-04,25.353067830380503
2017-06-05,23.53933388136166
2017-06-06,29.75118238252701
2017-06-07,31.911541064697253
2017-06-08,37.14481174282593
2017-06-09,35.32431295641484
2017-06-10,29.45961981485945
2017-06-11,31.00914749931349
2017-06-12,27.831511262469625
2017-06-13,28.44717693128477
2017-06-14,28.959610059953803
2017-06-15,32.1968397252077
2017-06-16,31.70175588786158
2017-06-17,27.960551304222392
2017-06-18,26.9150317359054
2017-06-19,29.77595290509408
2017-06-20,30.205734140365674
2017-06-21,32.72752192173212
2017-06-22,36.45666666666667
2017-06-23,27.88155478225118
2017-06-24,29.215010135938176
2017-06-25,25.845192857390312
2017-06-26,20.614141972164703
2017-06-27,19.9114430618631
2017-06-28,19.265633873081786
2017-06-29,21.41985122305694
2017-06-30,20.102466377335208
2017-07-01,20.01901527016158
2017-07-02,20.094171169978942
2017-07-03,19.363575148751767
2017-07-04,21.275319696969696
2017-07-05,27.89876690182245
2017-07-06,25.55027443807045
2017-07-07,23.772531311869336
2017-07-08,19.596864923197245
2017-07-09,26.45054329802328
2017-07-10,24.97765701564329
2017-07-11,26.36808434939801
2017-07-12,25.33337061994609
2017-07-13,30.88325517823732
2017-07-14,29.029113338074986
2017-07-15,30.43006821114293
2017-07-16,30.62667797875079
2017-07-17,38.40564653092284
2017-07-18,44.38848863355878
2017-07-19,30.515895374600497
2017-07-20,20.062046262226385
2017-09-14,35.5
2017-09-15,21.481688232955783
2017-09-16,15.496778938415886
