,date,pm10,pm25,no2
244,2016-09-01,23.67751479289941,15.103174603174605,31.172057891667865
245,2016-09-02,19.8023598820059,11.428571428571429,29.915932752374232
246,2016-09-03,18.01186943620178,11.246031746031743,24.77962512712942
247,2016-09-04,12.726190476190476,8.69047619047619,15.51711136149991
248,2016-09-05,10.855421686746988,5.736,19.656350546092398
249,2016-09-06,13.011834319526628,7.8,25.23753360131599
250,2016-09-07,16.40652818991098,11.448,28.71873853369484
251,2016-09-08,22.902077151335316,16.48,32.712252004103775
252,2016-09-09,26.34319526627219,17.07936507936508,33.02088861570528
253,2016-09-10,24.32941176470588,16.936507936507937,31.11019427466079
254,2016-09-11,21.8475073313783,14.832,25.097664103185178
255,2016-09-12,25.686567164179102,16.349593495934958,36.847820593076136
256,2016-09-13,32.47761194029851,21.282258064516128,36.66810252310788
257,2016-09-14,34.16519174041298,21.444444444444443,33.248325087819715
258,2016-09-15,25.20294117647059,15.214285714285714,27.33057263660213
259,2016-09-16,20.053097345132745,13.468253968253968,27.612890044130666
260,2016-09-17,17.711764705882352,12.714285714285714,19.54122708058849
261,2016-09-18,14.831360946745562,8.880952380952381,12.921551946309192
262,2016-09-19,16.3026706231454,8.968253968253968,23.37100170540078
263,2016-09-20,18.383480825958703,10.126984126984128,26.634091215219648
264,2016-09-21,17.178041543026705,10.192,28.405012501990143
265,2016-09-22,20.16519174041298,12.07258064516129,33.15611516720561
266,2016-09-23,23.85,15.864,35.325223214285714
267,2016-09-24,20.53982300884956,13.672,28.79493490240735
268,2016-09-25,18.805309734513276,13.774193548387096,23.57462024299345
269,2016-09-26,21.8486646884273,12.894308943089433,30.427085555269773
270,2016-09-27,24.011764705882356,15.72,34.12935276242182
271,2016-09-28,19.938235294117646,11.733870967741936,26.13678748501689
272,2016-09-29,16.64688427299703,7.772357723577236,23.903367973485537
273,2016-09-30,15.914201183431953,7.967741935483871,28.479885507507788
274,2016-10-01,14.221238938053098,10.304,23.98961956521739
275,2016-10-02,8.341246290801188,6.282258064516129,14.800636588451804
276,2016-10-03,9.59882005899705,6.432,15.04070557693641
277,2016-10-04,9.417910447761194,5.528925619834711,19.789159820939208
278,2016-10-05,7.931343283582089,4.15,19.00534498857165
279,2016-10-06,8.51497005988024,4.967741935483871,19.8127322137827
280,2016-10-07,8.626112759643917,5.712,19.49298303858754
281,2016-10-08,8.955489614243323,6.241935483870968,19.17755765539616
282,2016-10-09,9.455357142857142,6.848,18.84170929680612
283,2016-10-10,14.059701492537313,9.76,27.08556596204596
284,2016-10-11,14.770833333333334,10.333333333333334,24.14479695717311
285,2016-10-12,12.211764705882352,9.69047619047619,19.0239846144194
286,2016-10-13,13.513274336283184,10.824,18.768406905091688
287,2016-10-14,21.096774193548388,17.328,22.419097100229347
288,2016-10-15,20.923753665689148,18.404761904761905,23.4702450119266
289,2016-10-16,20.339233038348084,18.753968253968253,21.07387621876897
290,2016-10-17,24.55325443786982,20.682539682539684,27.965595045474902
291,2016-10-18,20.93235294117647,16.92,26.514539317868124
292,2016-10-19,10.64896755162242,7.325396825396825,23.87645205751119
293,2016-10-20,12.784023668639051,9.841269841269842,27.255507480452376
294,2016-10-21,16.65,13.047619047619047,26.725059257080574
295,2016-10-22,16.71386430678466,13.547619047619047,22.940333821440763
296,2016-10-23,18.327433628318584,14.341269841269842,19.83610785746524
297,2016-10-24,24.66268656716418,21.192,25.981957168538727
298,2016-10-25,20.023880597014927,17.656,28.01289399327844
299,2016-10-26,26.194610778443117,19.63492063492064,30.058415472642107
300,2016-10-27,32.225519287833826,24.912,31.658474887213693
301,2016-10-28,23.079881656804734,15.21774193548387,27.97867495705096
302,2016-10-29,18.98816568047337,9.886178861788618,23.58056552285056
303,2016-10-30,19.440828402366865,9.824,22.66560537844877
304,2016-10-31,18.33333333333333,12.064,27.46513528235902
