,date,pm10,pm25,no2
0,2016-01-01,59.34925373134328,43.312,21.7689941104647
1,2016-01-02,21.050898203592816,19.846774193548388,18.431227436256584
2,2016-01-03,23.486567164179103,25.227642276422763,17.4094063189294
3,2016-01-04,27.759036144578317,30.95967741935484,27.001758899233945
4,2016-01-05,32.68154761904762,33.8,30.98716384603981
5,2016-01-06,42.54302670623145,41.264,31.19531858796271
6,2016-01-07,43.94642857142857,44.00806451612903,29.106980540480244
7,2016-01-08,16.168141592920353,11.338709677419354,30.048314392301005
8,2016-01-09,19.64985163204748,14.208,33.20070329669372
9,2016-01-10,13.61904761904762,13.298387096774194,22.78811297389208
10,2016-01-11,8.72754491017964,7.752,31.906327365782342
11,2016-01-12,8.946587537091988,8.146341463414634,24.61249598480263
12,2016-01-13,8.313432835820896,6.163934426229508,22.048983758378647
13,2016-01-14,13.4375,9.129032258064516,29.613389373938
14,2016-01-15,14.473214285714286,13.508064516129032,25.86661776532413
15,2016-01-16,16.71513353115727,14.728,24.036543740664484
16,2016-01-17,13.510385756676556,11.416,20.71342356373996
17,2016-01-18,21.49112426035503,17.88617886178862,39.69518185979793
18,2016-01-19,31.571428571428573,24.558333333333334,43.39597913642209
19,2016-01-20,32.80769230769231,25.43548387096774,46.85785484603792
20,2016-01-21,31.05341246290801,25.736,45.850060515758685
21,2016-01-22,33.99704142011834,28.456,45.5253304879061
22,2016-01-23,27.071005917159763,20.888,36.152932119697965
23,2016-01-24,17.88955223880597,13.46774193548387,27.772551357637585
24,2016-01-25,18.461077844311376,13.28225806451613,35.63081822833436
25,2016-01-26,20.91097922848665,13.512,33.03206796332326
26,2016-01-27,13.772189349112423,7.413223140495868,23.15657088884788
27,2016-01-28,15.218934911242604,8.28099173553719,28.97720001767157
28,2016-01-29,13.63905325443787,8.528455284552846,25.79857424309707
29,2016-01-30,6.504451038575668,4.327731092436975,14.465097317838325
30,2016-01-31,8.359050445103858,4.878048780487805,15.345066444999835
31,2016-02-01,8.707462686567164,5.776859504132231,17.846126595445572
32,2016-02-02,8.053731343283582,4.585365853658536,16.336622351365424
33,2016-02-03,11.18452380952381,5.975806451612903,22.35124725522928
34,2016-02-04,9.85207100591716,6.713114754098361,24.06613089384346
35,2016-02-05,13.867256637168142,10.776,31.465944372067696
36,2016-02-06,12.70796460176991,9.42741935483871,24.889426965750356
37,2016-02-07,10.482248520710058,7.754098360655738,18.58551933896308
38,2016-02-08,6.563421828908554,3.1463414634146343,14.050003809551384
39,2016-02-09,7.851632047477745,4.25,18.071996918568345
