,date,pm10,pm25
0,2016-01-01,59.34925373134328,43.312
1,2016-01-02,21.050898203592816,19.846774193548388
2,2016-01-03,23.486567164179103,25.227642276422763
3,2016-01-04,27.759036144578317,30.95967741935484
4,2016-01-05,32.68154761904762,33.8
5,2016-01-06,42.54302670623145,41.264
6,2016-01-07,43.94642857142857,44.00806451612903
7,2016-01-08,16.168141592920353,11.338709677419354
8,2016-01-09,19.64985163204748,14.208
9,2016-01-10,13.61904761904762,13.298387096774194
10,2016-01-11,8.72754491017964,7.752
11,2016-01-12,8.946587537091988,8.146341463414634
12,2016-01-13,8.313432835820896,6.163934426229508
13,2016-01-14,13.4375,9.129032258064516
14,2016-01-15,14.473214285714286,13.508064516129032
15,2016-01-16,16.71513353115727,14.728
16,2016-01-17,13.510385756676556,11.416
17,2016-01-18,21.49112426035503,17.88617886178862
18,2016-01-19,31.571428571428573,24.558333333333334
19,2016-01-20,32.80769230769231,25.43548387096774
20,2016-01-21,31.05341246290801,25.736
21,2016-01-22,33.99704142011834,28.456
22,2016-01-23,27.071005917159763,20.888
23,2016-01-24,17.88955223880597,13.46774193548387
24,2016-01-25,18.461077844311376,13.28225806451613
25,2016-01-26,20.91097922848665,13.512
26,2016-01-27,13.772189349112423,7.413223140495868
27,2016-01-28,15.218934911242604,8.28099173553719
28,2016-01-29,13.63905325443787,8.528455284552846
29,2016-01-30,6.504451038575668,4.327731092436975
30,2016-01-31,8.359050445103858,4.878048780487805
31,2016-02-01,8.707462686567164,5.776859504132231
32,2016-02-02,8.053731343283582,4.585365853658536
33,2016-02-03,11.18452380952381,5.975806451612903
34,2016-02-04,9.85207100591716,6.713114754098361
35,2016-02-05,13.867256637168142,10.776
36,2016-02-06,12.70796460176991,9.42741935483871
37,2016-02-07,10.482248520710058,7.754098360655738
38,2016-02-08,6.563421828908554,3.1463414634146343
39,2016-02-09,7.851632047477745,4.25
40,2016-02-10,7.855855855855855,5.288
41,2016-02-11,11.988023952095809,7.682926829268292
42,2016-02-12,17.220238095238095,13.629032258064516
43,2016-02-13,20.54867256637168,19.065040650406505
44,2016-02-14,17.150442477876105,17.879032258064516
45,2016-02-15,13.899705014749262,12.089430894308943
46,2016-02-16,16.18154761904762,11.879032258064516
47,2016-02-17,22.1976401179941,17.830645161290324
48,2016-02-18,28.43195266272189,23.693548387096776
49,2016-02-19,29.08358208955224,24.959349593495936
50,2016-02-20,11.071856287425147,9.528455284552846
51,2016-02-21,4.314024390243903,3.0083333333333333
52,2016-02-22,11.105740181268882,4.262295081967213
53,2016-02-23,10.202380952380953,6.7073170731707314
54,2016-02-24,13.925149700598803,7.747967479674797
55,2016-02-25,17.516320474777448,11.617886178861788
56,2016-02-26,21.783382789317507,14.709677419354838
57,2016-02-27,24.75147928994083,19.32258064516129
58,2016-02-28,30.86725663716814,26.26829268292683
59,2016-02-29,30.03834808259587,23.0
335,2016-12-01,25.54491017964072,16.452380952380953
336,2016-12-02,19.12797619047619,10.023809523809524
337,2016-12-03,22.36904761904762,15.216
338,2016-12-04,25.01497005988024,20.84552845528455
339,2016-12-05,32.145833333333336,24.95967741935484
340,2016-12-06,32.651785714285715,23.865079365079364
341,2016-12-07,25.486646884273,20.03968253968254
342,2016-12-08,25.48948948948949,17.515873015873016
343,2016-12-09,29.40532544378698,21.141732283464567
344,2016-12-10,27.737463126843657,22.0078125
345,2016-12-11,14.824404761904765,10.640625
346,2016-12-12,17.805389221556887,9.9375
347,2016-12-13,23.194528875379937,16.078740157480315
348,2016-12-14,25.823353293413174,17.796875
349,2016-12-15,18.417910447761194,12.614173228346456
350,2016-12-16,23.112094395280234,18.6328125
351,2016-12-17,30.44674556213018,25.0
352,2016-12-18,27.84660766961652,21.3203125
353,2016-12-19,20.03834808259587,14.2734375
354,2016-12-20,26.61861861861862,21.140625
355,2016-12-21,30.21301775147929,24.765625
356,2016-12-22,22.902077151335316,17.5625
357,2016-12-23,19.391691394658757,15.0546875
358,2016-12-24,11.471471471471473,7.8671875
359,2016-12-25,11.050898203592814,5.15625
360,2016-12-26,7.343465045592705,4.412698412698413
361,2016-12-27,18.564564564564563,8.341269841269842
362,2016-12-28,21.36716417910448,10.362204724409448
363,2016-12-29,21.88358208955224,14.05511811023622
364,2016-12-30,24.579104477611946,18.84375
365,2016-12-31,28.95820895522388,22.094488188976374
366,2017-01-01,60.29166666666666,53.766917293233085
367,2017-01-02,19.82248520710059,15.666666666666666
368,2017-01-03,14.47787610619469,10.330827067669173
369,2017-01-04,9.191740412979351,5.3007518796992485
370,2017-01-05,10.456716417910448,5.303030303030303
371,2017-01-06,17.253687315634217,11.225563909774436
372,2017-01-07,22.705357142857142,17.150375939849624
373,2017-01-08,25.10619469026549,22.654135338345863
374,2017-01-09,25.431137724550897,21.466165413533837
375,2017-01-10,20.707100591715975,18.03731343283582
376,2017-01-11,18.050295857988164,16.918518518518518
377,2017-01-12,13.66472303206997,7.388059701492537
378,2017-01-13,7.922388059701492,6.0
379,2017-01-14,10.070175438596491,7.149253731343284
380,2017-01-15,11.748538011695906,7.992481203007519
381,2017-01-16,18.115384615384617,13.24626865671642
382,2017-01-17,21.37536656891496,17.622222222222224
383,2017-01-18,26.328445747800583,23.23134328358209
384,2017-01-19,35.868035190615835,28.488888888888887
385,2017-01-20,39.62352941176471,30.303703703703704
386,2017-01-21,40.04117647058823,32.12592592592593
387,2017-01-22,51.002932551319645,44.644444444444446
388,2017-01-23,63.17559523809524,52.47407407407408
389,2017-01-24,52.105571847507335,45.37777777777778
390,2017-01-25,40.43108504398827,32.67407407407408
391,2017-01-26,32.57434402332362,26.103703703703705
392,2017-01-27,41.924418604651166,32.669117647058826
393,2017-01-28,47.10174418604651,41.56617647058823
394,2017-01-29,40.65597667638484,38.5925925925926
395,2017-01-30,29.101744186046517,29.51851851851852
396,2017-01-31,27.80116959064328,29.34558823529412
397,2017-02-01,28.898255813953487,29.46323529411765
398,2017-02-02,29.862973760932945,29.24264705882353
399,2017-02-03,25.09011627906977,26.014814814814816
400,2017-02-04,16.91594202898551,17.933333333333334
401,2017-02-05,19.90144927536232,20.63235294117647
402,2017-02-06,26.07309941520468,22.933333333333334
403,2017-02-07,28.61516034985423,24.548148148148147
404,2017-02-08,37.19825072886297,32.644444444444446
405,2017-02-09,42.02906976744186,38.629629629629626
406,2017-02-10,56.19241982507289,52.45185185185185
407,2017-02-11,53.770348837209305,47.83088235294117
408,2017-02-12,47.06976744186046,43.669117647058826
409,2017-02-13,49.40350877192982,45.0
410,2017-02-14,54.60058309037901,47.407407407407405
411,2017-02-15,58.799410029498524,50.514925373134325
412,2017-02-16,44.78885630498534,34.97037037037037
413,2017-02-17,22.660818713450293,18.46212121212121
414,2017-02-18,18.29360465116279,13.577777777777778
415,2017-02-19,24.95562130177515,20.925925925925927
416,2017-02-20,17.42105263157895,14.218045112781954
417,2017-02-21,10.70262390670554,6.646616541353383
418,2017-02-22,7.3343373493975905,5.1328125
419,2017-02-23,8.431486880466473,5.59375
420,2017-02-24,9.33529411764706,4.393700787401575
421,2017-02-25,16.51169590643275,10.828358208955224
422,2017-02-26,13.642441860465116,9.93984962406015
423,2017-02-27,12.505847953216374,8.277777777777779
424,2017-02-28,6.434131736526946,4.283464566929134
700,2017-12-01,19.84057971014493,16.680851063829788
701,2017-12-02,22.50578034682081,17.75177304964539
702,2017-12-03,17.704347826086956,15.312056737588652
703,2017-12-04,13.962099125364432,9.2
704,2017-12-05,16.107871720116616,10.528571428571428
705,2017-12-06,17.396501457725947,12.347517730496454
706,2017-12-07,15.310144927536232,11.401408450704226
707,2017-12-08,9.008695652173913,5.843971631205674
708,2017-12-09,9.604651162790695,6.436619718309859
709,2017-12-10,8.21865889212828,6.408450704225352
710,2017-12-11,9.543859649122806,9.28368794326241
711,2017-12-12,9.313782991202348,7.070921985815603
712,2017-12-13,9.668604651162791,7.894366197183099
713,2017-12-14,7.0588235294117645,4.553191489361702
714,2017-12-15,12.801749271137028,10.2
715,2017-12-16,15.77906976744186,13.228571428571428
716,2017-12-17,11.343023255813954,8.471428571428572
717,2017-12-18,14.74561403508772,12.26950354609929
718,2017-12-19,21.03206997084548,17.338028169014084
719,2017-12-20,15.01457725947522,12.53900709219858
720,2017-12-21,11.282420749279538,8.8
721,2017-12-22,13.30835734870317,10.50354609929078
722,2017-12-23,11.469565217391304,10.212765957446807
723,2017-12-24,6.0,6.411347517730497
724,2017-12-25,6.806547619047619,5.721428571428572
725,2017-12-26,8.256559766763848,7.4071428571428575
726,2017-12-27,9.142441860465116,8.142857142857142
727,2017-12-28,10.193641618497107,8.141843971631205
728,2017-12-29,10.664739884393065,8.169014084507042
729,2017-12-30,9.93371757925072,7.147887323943662
730,2017-12-31,10.055072463768116,6.76978417266187
731,2018-01-01,14.498525073746311,12.394366197183098
732,2018-01-02,8.752212389380531,6.21830985915493
733,2018-01-03,6.821637426900585,3.9791666666666665
734,2018-01-04,10.725146198830409,6.055172413793104
735,2018-01-05,9.92463768115942,5.849315068493151
736,2018-01-06,13.341040462427744,9.841379310344829
737,2018-01-07,8.333333333333334,6.737931034482759
738,2018-01-08,14.79585798816568,12.143835616438356
739,2018-01-09,22.66568047337278,16.724137931034484
740,2018-01-10,22.555882352941172,19.33103448275862
741,2018-01-11,25.408695652173915,22.013793103448275
742,2018-01-12,31.107246376811595,26.46206896551724
743,2018-01-13,23.465317919075144,20.944444444444443
744,2018-01-14,19.20991253644315,17.363636363636363
745,2018-01-15,18.13623188405797,16.426573426573427
746,2018-01-16,5.649122807017544,4.774647887323944
747,2018-01-17,7.817391304347826,5.524475524475524
748,2018-01-18,7.31437125748503,4.756944444444445
749,2018-01-19,10.345238095238097,8.097222222222221
750,2018-01-20,11.613372093023257,10.719178082191782
751,2018-01-21,15.252906976744184,14.455172413793104
752,2018-01-22,14.748538011695906,13.482758620689657
753,2018-01-23,17.64306784660767,14.36551724137931
