,date,pm10,pm25,no2
60,2016-03-01,28.263313609467456,21.07258064516129,29.500880687127538
61,2016-03-02,11.37910447761194,9.398373983739836,25.14981391059073
62,2016-03-03,13.83679525222552,10.03225806451613,31.56109789848547
63,2016-03-04,16.91394658753709,13.491935483870968,30.46109527483905
64,2016-03-05,19.96130952380953,19.365853658536587,29.868897296117005
65,2016-03-06,19.47005988023952,17.878048780487806,22.137095762983694
66,2016-03-07,18.571428571428573,14.455284552845528,33.47947507426797
67,2016-03-08,26.95252225519288,20.08130081300813,38.2266989508514
68,2016-03-09,29.00297619047619,24.804878048780488,31.46082572790575
69,2016-03-10,40.9789156626506,34.642276422764226,33.619600043708054
70,2016-03-11,35.082840236686394,26.943089430894307,27.953611064808445
71,2016-03-12,21.82248520710059,17.467741935483872,20.011264362105383
72,2016-03-13,18.2433234421365,16.048387096774192,13.992252068096688
73,2016-03-14,23.89020771513353,20.317073170731707,26.11395902315777
74,2016-03-15,24.44345238095238,19.235772357723576,29.564842330733
75,2016-03-16,19.65773809523809,15.631147540983608,21.74311129234071
76,2016-03-17,30.817109144542773,24.821138211382117,37.84918622080462
77,2016-03-18,32.88495575221239,23.42276422764228,35.016581653307426
78,2016-03-19,23.902366863905325,17.653225806451612,24.446183767653284
79,2016-03-20,17.541666666666668,11.75,15.889756965409571
80,2016-03-21,16.608955223880596,10.723577235772357,24.23981810778057
81,2016-03-22,18.639880952380956,12.227642276422763,26.4429954815329
82,2016-03-23,14.433234421364984,9.83739837398374,27.07447388910553
83,2016-03-24,23.436578171091444,17.065040650406505,31.208232454772265
84,2016-03-25,21.28994082840237,20.056451612903224,20.02726729690559
85,2016-03-26,17.482142857142858,14.35483870967742,19.675571281037318
86,2016-03-27,13.86053412462908,13.336065573770492,16.491371046673528
87,2016-03-28,7.548961424332345,5.801652892561983,13.847639584899584
88,2016-03-29,8.736526946107784,4.875,20.129178911775973
89,2016-03-30,11.19345238095238,7.105691056910569,27.160092204319884
90,2016-03-31,15.928571428571429,10.080645161290322,28.58089061386718
91,2016-04-01,12.44807121661721,8.666666666666666,26.589909835231538
92,2016-04-02,20.82195845697329,14.178861788617889,24.688066492854567
93,2016-04-03,24.823880597014924,15.62295081967213,24.98108049160166
94,2016-04-04,25.98809523809524,15.89344262295082,32.69506235655051
95,2016-04-05,21.843657817109143,15.96774193548387,31.46835018209524
