date,pm10,pm25,peak_temperature,precipitation_mm
2016-01,25.858882252345367,9.334372495999013,4.303754440108271,2.613204113775313
2016-02,18.393422464118288,6.340431966645923,6.7875851617258,3.0311800518215586
2016-03,23.81437661148707,8.879714585687847,8.14378387205926,1.5355585056180394
2016-04,18.42718149320924,5.896597303914326,12.858289462556018,1.923937597064081
2016-05,18.670058823079014,6.259751177029055,18.835680287359857,2.141425676243723
2016-06,17.311171412858855,6.04204732780946,21.6998462570539,3.695425629256369
2016-07,17.034217217595735,5.59410429957822,23.298068897136005,2.0301768952369703
2016-08,16.663069513427626,5.022180765224191,23.159980426396324,1.4959121237467579
2016-09,23.51576066213024,7.254696967824084,22.94402031686382,0.9926449982132518
2016-10,19.340353801708094,6.933306185761205,12.39580849455564,1.8206950541865057
2016-11,20.532915572627843,7.200852926788828,7.371566695298753,1.9127138579280383
2016-12,25.99457961624764,9.372247078070496,5.556273886082646,0.9128522816760406
2017-01,32.7922246415116,16.534320935353126,1.7248183793396217,1.7592919982677826
2017-02,31.063235601756713,16.85968353096076,6.971094665687748,1.867070341559688
2017-03,19.685178264795166,8.529859491553438,12.080169853926796,2.297245236641365
2017-04,19.392822877764736,8.38201408376234,12.092154412265744,1.675609614455082
2017-05,17.18166463963636,7.761210058474227,19.21720592308885,2.0099649419384913
2017-06,16.616004970971744,6.799231257101128,23.071013493167758,3.247074394662843
2017-07,15.724272263885664,6.666305358856159,22.743274216022915,3.694427702719387
2017-08,17.19880404617952,7.544204593754265,22.79841879229847,2.8223093066595535
2017-09,17.86696855209494,8.228227360434193,17.631933798836414,2.750685621380436
2017-10,17.780979993192958,7.096322563384304,15.271793314648706,2.42901099959973
2017-11,19.36103916994715,9.15362499382079,8.33164444007614,2.8829482296537994
2017-12,15.280154222137444,7.387426356255855,5.548233101673409,2.9548122382561073
2018-01,17.281918086014183,8.530310827797773,6.755052373158217,3.3536741287524214
2018-02,27.368124830857344,14.008611463155528,2.4373898525037156,0.8099868709706561
2018-03,25.992631716919053,13.662934071912769,7.210918152823932,1.9674414523315562
2018-04,23.95296244436298,10.733857749251166,17.9151098574731,1.6710485957881094
2018-05,21.44366657257085,8.628520707351436,21.985784308331862,1.3159213328623853
2018-06,19.144375331007026,8.249759285447862,22.84198195211827,1.6279992670403054
2018-07,18.777105903847545,7.500452261184096,26.77233511365116,1.1879139670111476
2018-08,17.884687942267266,7.0506937231835725,26.191951535191944,1.2004526903008021
2018-09,19.22634149007742,7.303786365671151,21.31011172918194,1.5841702840792025
2018-10,22.602270071590215,9.630528755531042,16.50624565249057,0.9902539007065788
2018-11,23.562434141074394,12.75551920150789,9.389387645023485,0.915346858781126
2018-12,15.994715689754793,7.892846256069964,6.668435118933532,3.435817094615066
2019-01,20.602660690858198,11.683814632202434,3.656939353799277,2.6804408350638456
2019-02,26.85160578662149,14.620258989098168,9.255466690761017,1.303561613099735
2019-03,17.2685498236916,8.651046566699836,10.78473046627136,2.615981260578929
2019-04,23.006791633383962,12.445249002315766,15.454368864031565,1.2394703388172175
2019-05,15.589500664310249,7.78303411534034,15.95553172875017,2.4977895169087585
2019-06,17.24909619582505,8.075119101406854,26.069146873839863,1.6017082407466945
2019-07,17.624980561897512,7.708302388259174,24.67139886190109,1.8465541376941954
2019-08,17.23906820553896,8.174555427097747,25.053796464938912,1.9155733384778308
2019-09,14.71771619224489,6.094715287463044,19.325998335653495,2.2862209904566635
2019-10,15.393966544602481,7.011622090177251,15.343379345004422,3.147740671753425
2019-11,18.31563534047825,10.532209243848532,8.696723031269272,2.381208343910902
2019-12,16.854983633008494,8.99910059905387,6.984150022473986,1.998732645339406
2020-01,20.963602832260666,11.506529477016187,6.9754465192788535,1.5237547698841722
2020-02,12.977193394605486,5.9686763040035515,8.970183033004307,4.660360926999671
2020-03,17.026745269280436,8.944336970582068,9.972451180174714,1.9743398307917206
2020-04,21.252863136894117,9.467398326973404,16.93113285722735,0.5432438025008348
2020-05,14.534086343537298,6.657291127897153,17.71843157230834,1.31641414588695
