city,date,pm10,pm25,peak_temperature,precipitation_mm
Aachen,2016-01,16.048387096774192,,5.906451612903226,3.3870967741935485
Aachen,2016-02,17.32758620689655,,6.517241379310345,3.693103448275862
Aachen,2016-03,24.306451612903224,,7.448387096774193,2.4516129032258065
Aachen,2016-04,15.283333333333333,,12.236666666666666,2.13
Aachen,2016-05,17.032258064516128,,17.603225806451615,2.8451612903225807
Aachen,2016-06,17.1,,20.279999999999998,5.4366666666666665
Aachen,2016-07,16.483870967741936,,21.91290322580645,1.867741935483871
Aachen,2016-08,16.483870967741936,,22.335483870967742,1.7741935483870968
Aachen,2016-09,19.733333333333334,,22.15666666666667,0.8
Aachen,2016-10,18.983870967741936,,12.687096774193549,1.7322580645161292
Aachen,2016-11,17.216666666666665,,8.08,2.31
Aachen,2016-12,23.258064516129032,,6.867741935483871,0.6387096774193547
Aachen,2017-01,25.677419354838708,,2.0483870967741935,2.0258064516129033
Aachen,2017-02,22.25,,8.064285714285715,2.407142857142857
Aachen,2017-03,18.096774193548388,,12.422580645161291,2.9451612903225803
Aachen,2017-04,22.883333333333333,,11.53,1.1
Aachen,2017-05,16.241935483870968,,19.183870967741935,1.5548387096774194
Aachen,2017-06,16.083333333333332,,22.58,1.8966666666666667
Aachen,2017-07,14.919354838709678,,22.083870967741937,3.4870967741935486
Aachen,2017-08,15.370967741935484,,21.5,2.5999999999999996
Aachen,2017-09,13.55,,17.01,3.3133333333333335
Aachen,2017-10,14.806451612903226,,15.306451612903226,2.1322580645161286
Aachen,2017-11,15.866666666666667,,8.3,2.783333333333333
Aachen,2017-12,14.064516129032258,,5.612903225806452,3.5580645161290323
Aachen,2018-01,13.983333333333333,,7.245161290322581,4.006451612903226
Aachen,2018-02,24.589285714285715,,2.585714285714286,1.0214285714285716
Aachen,2018-03,18.661290322580644,,8.235483870967743,2.374193548387097
Aachen,2018-04,20.233333333333334,,16.903333333333332,1.8333333333333333
Aachen,2018-05,20.903225806451612,,20.4741935483871,2.47741935483871
Aachen,2018-06,20.233333333333334,,20.71333333333333,1.8
Aachen,2018-07,18.70967741935484,,26.461290322580645,0.4612903225806451
Aachen,2018-08,16.129032258064516,,24.416129032258063,1.5129032258064516
Aachen,2018-09,17.133333333333333,,19.96333333333333,2.11
Aachen,2018-10,18.629032258064516,,16.12258064516129,1.2806451612903227
Aachen,2018-11,15.333333333333334,,10.286666666666667,1.2133333333333334
Aachen,2018-12,12.82258064516129,,7.087096774193548,4.429032258064517
Aachen,2019-01,19.193548387096776,,3.661290322580645,3.2870967741935484
Aachen,2019-02,21.357142857142858,,10.328571428571427,1.5250000000000001
Aachen,2019-03,18.580645161290324,,10.399999999999999,3.858064516129032
Aachen,2019-04,22.283333333333335,,14.57,1.2766666666666666
Aachen,2019-05,17.5,,14.7,2.7806451612903227
Aachen,2019-06,14.6,,23.67,1.46
Aachen,2019-07,18.129032258064516,,23.738709677419354,2.003225806451613
Aachen,2019-08,14.661290322580646,,23.345161290322583,2.029032258064516
Aachen,2019-09,12.416666666666666,,18.68,2.0366666666666666
Aachen,2019-10,10.951612903225806,,14.72258064516129,3.8096774193548386
Aachen,2019-11,12.3,,8.753333333333334,3.013333333333333
Aachen,2019-12,12.419354838709678,,7.674193548387097,2.541935483870968
Aachen,2020-01,16.225806451612904,,7.490322580645161,1.6258064516129032
Aachen,2020-02,11.913793103448276,5.913043478260869,8.675862068965516,6.23448275862069
Aachen,2020-03,15.85483870967742,10.225806451612904,9.738709677419354,3.2903225806451615
Aachen,2020-04,20.716666666666665,11.866666666666667,17.01,0.6066666666666667
Aachen,2020-05,15.112903225806452,8.258064516129032,17.80322580645161,1.0161290322580645
Aachen,2020-06,13.55,7.133333333333334,21.176666666666666,2.7033333333333336
Aachen,2020-07,12.403225806451612,5.709677419354839,21.651612903225807,1.7451612903225806
Aachen,2020-08,13.951612903225806,7.387096774193548,25.929032258064513,2.203225806451613
Aachen,2020-09,15.85,8.366666666666667,20.75,2.2066666666666666
Aachen,2020-10,11.241935483870968,6.903225806451613,13.225806451612904,2.509677419354839
Aachen,2020-11,14.9,9.766666666666667,11.636666666666667,0.9666666666666667
Aachen,2020-12,9.451612903225806,6.870967741935484,6.72258064516129,2.803225806451613
Aachen,2021-01,13.370967741935484,10.290322580645162,3.809677419354839,4.387096774193548
