date,value
2016-11,21.633191824061925
2016-12,25.42526770468079
2017-02,12.535669660153621
2017-03,12.149641215857189
2017-04,8.587852865260922
2017-05,9.707299878698139
2017-06,9.104127751697414
2017-07,10.577318906081471
2020-03,24.06965515955376
2020-04,18.256959219007722
2020-05,11.167883508856734
2020-06,10.218309580778888
2020-07,12.248860889740145
2020-08,13.514072344544164
2020-09,14.686727967528547
2020-10,13.120985870445283
2020-11,19.35314415693766
2020-12,17.05071023034243
2021-01,19.01861320574708
2021-02,25.793426798370852
2021-03,18.395046263067766
2021-04,14.39685226229723
2021-05,8.355614814957953
2021-06,16.053698171061107
2021-07,13.860619327031305
2021-08,10.598888487100977
2021-09,15.355004299136661
2021-10,17.609379938895753
2021-11,17.15634119914757
2021-12,17.639334902342984
2022-01,17.18125157644973
2022-02,13.545065101510419
2022-03,26.658189808786414
2022-04,13.343634156853055
2022-05,13.813930488740256
2022-06,13.384332205064858
2022-07,12.955072076526744
2022-08,12.738259730980467
2022-09,10.135475525843749
2022-10,18.628094051575
2022-11,17.06997835741317
2022-12,20.20528316501636
2023-01,15.244027839872796
2023-02,19.969539783807495
2023-03,15.028351270359053
2023-04,11.660248810278217
2023-05,13.12008593019995
2023-06,15.14556632181942
2023-07,11.893822084749505
2023-08,11.973953061541156
2023-09,14.716372094139446
2023-10,15.093097492986265
2023-11,11.05844116406615
2023-12,17.192444934440505
2024-01,20.19306161148818
2024-02,15.817454270996208
2024-03,21.166689038074225
2024-04,12.418541749504667
2024-05,9.6714209294602
2024-06,11.900375529134575
2024-07,11.442084461947308
2024-08,12.73823763126304
2024-09,13.258154928290265
2024-10,14.508953770732521
2024-11,16.532396788621078
2024-12,15.944830677614602
2025-01,15.74332952149556
2025-02,22.453133763739732
2025-03,15.002731291412259
2025-04,12.031379770816303
2025-05,8.574753623225048
2025-06,9.104659807091627
2025-07,8.568181871860002
2025-08,13.552053285845846
2025-09,8.697476144840243
2025-10,11.193226788657222
2025-11,13.81456612494311
2025-12,13.343903369103998
2026-01,15.45095599610497
2026-02,15.563508373452294
