year,pm10,pm25
2016,14.978812004897824,9.19154691215481
2017,14.535919231277896,9.113117679467944
2018,16.79955247230864,9.511974277065564
2019,14.960346008370772,8.164431393732606
2020,14.270481217638016,7.787287351846038
2021,13.39690747565536,7.604861589582056
2022,15.076169755569431,7.614404945015137
2023,11.598131133079018,6.081505432115141
2024,13.29917911982952,7.227046924519414
2025,13.537672271447864,7.051968139213338
