city,station,start_time,end_time,value
Recklinghausen,1415,2017-02-03 11:00:00,2017-02-03 12:00:00,12.0
Recklinghausen,1415,2017-02-04 11:00:00,2017-02-04 12:00:00,10.0
Recklinghausen,1415,2017-02-05 11:00:00,2017-02-05 12:00:00,17.0
Recklinghausen,1415,2017-02-06 11:00:00,2017-02-06 12:00:00,39.0
Recklinghausen,1415,2017-02-07 11:00:00,2017-02-07 12:00:00,28.0
Recklinghausen,1415,2017-02-08 11:00:00,2017-02-08 12:00:00,50.0
Recklinghausen,1415,2017-02-09 11:00:00,2017-02-09 12:00:00,49.0
Recklinghausen,1415,2017-02-10 11:00:00,2017-02-10 12:00:00,66.0
Recklinghausen,1415,2017-02-11 11:00:00,2017-02-11 12:00:00,75.0
Recklinghausen,1415,2017-02-12 11:00:00,2017-02-12 12:00:00,53.0
Recklinghausen,1415,2017-02-13 11:00:00,2017-02-13 12:00:00,46.0
Recklinghausen,1415,2017-02-14 11:00:00,2017-02-14 12:00:00,61.0
Recklinghausen,1415,2017-02-15 11:00:00,2017-02-15 12:00:00,52.0
Recklinghausen,1415,2017-02-16 11:00:00,2017-02-16 12:00:00,32.0
Recklinghausen,1415,2017-02-17 11:00:00,2017-02-17 12:00:00,28.0
Recklinghausen,1415,2017-02-18 11:00:00,2017-02-18 12:00:00,30.0
Recklinghausen,1415,2017-02-19 11:00:00,2017-02-19 12:00:00,32.0
Recklinghausen,1415,2017-02-20 11:00:00,2017-02-20 12:00:00,22.0
Recklinghausen,1415,2017-02-21 11:00:00,2017-02-21 12:00:00,16.0
Recklinghausen,1415,2017-02-22 11:00:00,2017-02-22 12:00:00,6.0
Recklinghausen,1415,2017-02-23 11:00:00,2017-02-23 12:00:00,6.0
Recklinghausen,1415,2017-02-24 11:00:00,2017-02-24 12:00:00,11.0
Recklinghausen,1415,2017-02-25 11:00:00,2017-02-25 12:00:00,17.0
Recklinghausen,1415,2017-02-26 11:00:00,2017-02-26 12:00:00,10.0
Recklinghausen,1415,2017-02-27 11:00:00,2017-02-27 12:00:00,11.0
Recklinghausen,1415,2017-02-28 11:00:00,2017-02-28 12:00:00,10.0
Recklinghausen,1415,2017-03-01 11:00:00,2017-03-01 12:00:00,8.0
Recklinghausen,1415,2017-03-02 11:00:00,2017-03-02 12:00:00,16.0
Recklinghausen,1415,2017-03-03 11:00:00,2017-03-03 12:00:00,20.0
Recklinghausen,1415,2017-03-04 11:00:00,2017-03-04 12:00:00,26.0
Recklinghausen,1415,2017-03-05 11:00:00,2017-03-05 12:00:00,12.0
Recklinghausen,1415,2017-03-06 11:00:00,2017-03-06 12:00:00,11.0
Recklinghausen,1415,2017-03-07 11:00:00,2017-03-07 12:00:00,22.0
Recklinghausen,1415,2017-03-08 11:00:00,2017-03-08 12:00:00,14.0
Recklinghausen,1415,2017-03-09 11:00:00,2017-03-09 12:00:00,13.0
Recklinghausen,1415,2017-03-10 11:00:00,2017-03-10 12:00:00,18.0
Recklinghausen,1415,2017-03-11 11:00:00,2017-03-11 12:00:00,18.0
Recklinghausen,1415,2017-03-12 11:00:00,2017-03-12 12:00:00,15.0
Recklinghausen,1415,2017-03-13 11:00:00,2017-03-13 12:00:00,21.0
