stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,"['Fitnesstrainer/in', 'Servicekraft - Gastronomie und Gastgewerbe']",2026,Fitnesstrainer/in
ARBEIT,['Betreuungskraft / Alltagsbegleiter/in'],,Gemeindearbeiter/in
ARBEIT,"['Schulbegleiter/in', 'Büroassistent/in', 'Kinderbetreuer/in']",2026,Pädagogische Fachkraft - Grundschulkindbetreuung
ARBEIT,['Pizzabäcker/in'],2026,Pizzabäcker/in
ARBEIT,"['Medizinische/r Fachangestellte/r', 'Helfer/in - Büro, Verwaltung']",2026,"Helfer/in - Büro, Verwaltung"
ARBEIT,['Rettungsassistent/in'],2026,Rettungsassistent/in
ARBEIT,"['Helfer/in - Verkauf', 'Kommissionierer/in', 'Kassierer/in (Handel)']",2026,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Büro, Verwaltung']",2024,"Helfer/in - Büro, Verwaltung"
ARBEIT,['Gärtner/in - Garten- und Landschaftsbau'],2023,Gärtner/in - Garten- und Landschaftsbau
ARBEIT,"['Kaufmann/-frau - Groß- und Außenhandel (Außenhandel)', 'Fachwirt/in - Wirtschaft', 'Managementassistent/in']",2026,Managementassistent/in
ARBEIT,['Techniker/in - Maschinentechnik (ohne Schwerpunkt)/Bachelor Professional in Technik'],2026,Maschinenbaumechaniker/in
ARBEIT,['Industriemeister/in - Medizintechnik'],2026,Fachverkäufer/in - Medizintechnik und medizinische Einrichtungen
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Maler/in und Lackierer/in - Gestaltung und Instandhaltung', 'Helfer/in - Lebensmittelherstellung']",2026,Maler/in und Lackierer/in - Gestaltung und Instandhaltung
ARBEIT,"['Sous-Chef/in', 'Koch/Köchin']",2025,Sous-Chef/in
ARBEIT,"['Helfer/in - Ausbau', 'Helfer/in - Lagerwirtschaft, Transport']",2025,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,['Helfer/in - Verkauf'],2022,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Modeschneider/in', 'Helfer/in - Küche']",2026,Modeschneider/in
ARBEIT,"['Solarmonteur/in', 'Helfer/in - Ausbau']",2025,Solarmonteur/in
ARBEIT,"['Vertriebsberater/in', 'Fachkaufmann/-frau - Vertrieb', 'Innendienstleiter/in']",,Account-Manager/in
ARBEIT,['Zimmerer/Zimmerin'],2026,Zimmerer/Zimmerin
ARBEIT,"['Kassierer/in (Handel)', 'Helfer/in - Gartenbau', 'Helfer/in - Verkauf']",2025,Erzieher/in
ARBEIT,['Berufskraftfahrer/in'],,Helfer/in - Küche
ARBEIT,['Arzt/Ärztin'],2026,Arzt/Ärztin
ARBEIT,"['Helfer/in - Büro, Verwaltung']",,
ARBEIT,"['Friseur/in', 'Helfer/in - Friseurgewerbe']",2026,Friseur/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2021,Helfer/in - Lebensmittelherstellung
