city,date,pm10,pm25,peak_temperature,precipitation_mm
Aachen,2016,18.28688524590164,,13.686338797814207,2.412568306010929
Aachen,2017,17.44931506849315,,13.839178082191781,2.4865753424657533
Aachen,2018,18.070054945054945,,15.122465753424658,2.055068493150685
Aachen,2019,16.165753424657535,,14.533972602739725,2.481917808219178
Aachen,2020,14.255464480874316,8.072948328267477,15.159016393442622,2.312295081967213
Aachen,2021,15.297260273972602,9.567335243553009,13.166027397260274,2.6621917808219178
Aachen,2022,17.715068493150685,9.972527472527473,15.337534246575341,2.22027397260274
Aachen,2023,15.515068493150684,8.476584022038567,14.796986301369863,3.1824657534246574
Aachen,2024,14.28825136612022,7.689075630252101,14.59672131147541,3.4183060109289616
Aachen,2025,16.019178082191782,7.997245179063361,15.00931506849315,1.9482191780821918
Augsburg,2016,18.19330601092896,11.515027322404372,13.705191256830602,2.7669398907103826
Augsburg,2017,17.92853881278539,11.854794520547944,13.648493150684931,2.522739726027397
Augsburg,2018,19.92214611872146,13.12054794520548,15.005753424657534,2.146849315068493
Augsburg,2019,17.41849315068493,10.543835616438356,14.435890410958905,2.575890410958904
Augsburg,2020,15.307377049180328,9.312841530054644,14.518032786885247,2.6704918032786886
Augsburg,2021,15.026712328767124,8.35068493150685,13.096712328767124,2.707397260273973
Augsburg,2022,15.474429223744293,9.694520547945206,14.972602739726028,2.239178082191781
Augsburg,2023,13.9175799086758,8.534246575342467,15.132876712328768,2.755068493150685
Augsburg,2024,14.351548269581057,7.397540983606557,15.075409836065575,3.000546448087432
Augsburg,2025,15.304566210045662,9.817808219178081,14.28027397260274,2.225753424657534
Berlin,2016,23.132988353480158,,14.027049180327868,1.398087431693989
Berlin,2017,22.509458281444584,15.790354424874973,13.504383561643836,2.2904109589041095
Berlin,2018,23.718829389788297,15.574545454545456,15.33041095890411,1.13013698630137
Berlin,2019,19.57283796872838,13.088963608689637,15.508219178082191,1.4575342465753425
Berlin,2020,18.109662195727772,11.739112435833746,15.148360655737706,1.471857923497268
Berlin,2021,19.902266500622662,13.049900373599003,13.518082191780822,1.811232876712329
Berlin,2022,19.244001660440016,12.242611041926109,15.16191780821918,1.3397260273972602
Berlin,2023,16.624564613468724,10.579772966759268,14.98904109589041,2.2764383561643835
Berlin,2024,18.07627759308087,11.319516094106259,15.636338797814206,1.7685792349726774
Berlin,2025,17.97812785388128,11.58062681610627,14.626027397260273,1.6726027397260275
Bielefeld,2016,20.740384615384617,,13.671038251366122,1.8986338797814206
Bielefeld,2017,21.2760989010989,,13.527397260273972,2.8915068493150686
Bielefeld,2018,22.652968036529682,,15.179178082191779,1.907123287671233
Bielefeld,2019,18.78021978021978,,14.62794520547945,2.4238356164383563
Bielefeld,2020,16.936986301369863,,14.695081967213113,2.4330601092896176
Bielefeld,2021,15.835164835164836,10.121951219512194,13.363287671232877,2.4295890410958902
Bielefeld,2022,15.844780219780219,9.938186813186814,15.172876712328769,2.158904109589041
Bielefeld,2023,13.666666666666666,9.016528925619834,14.58109589041096,3.532054794520548
Bielefeld,2024,13.030219780219781,8.837912087912088,14.793989071038252,3.014207650273224
Bielefeld,2025,14.512396694214877,9.758953168044076,14.93808219178082,2.0306849315068494
Bonn,2016,17.47658402203857,,14.526775956284153,2.083879781420765
Bonn,2017,16.86426592797784,,14.937534246575343,2.4416438356164383
Bonn,2018,19.2292817679558,,16.19835616438356,1.8802739726027395
Bonn,2019,15.28888888888889,,15.535616438356165,2.2673972602739725
Bonn,2020,15.777472527472527,,16.15,1.7844262295081967
Bonn,2021,15.217630853994491,,14.327945205479452,2.5364383561643833
Bonn,2022,13.8,8.721264367816092,16.50054794520548,2.3169863013698633
Bonn,2023,12.182320441988951,7.997237569060774,16.007671232876714,3.1871232876712328
Bonn,2024,12.0,8.173553719008265,15.797814207650273,2.9311475409836065
Bonn,2025,13.751396648044693,9.337988826815643,15.936438356164384,2.144657534246575
Bottrop,2016,21.718232044198896,,14.23606557377049,2.160928961748634
Bottrop,2017,21.57967032967033,,14.540000000000001,2.573972602739726
Bottrop,2018,21.060439560439562,,16.002465753424655,1.7846575342465754
Bottrop,2019,19.32967032967033,,15.382739726027397,2.203013698630137
Bottrop,2020,16.50137741046832,,15.536612021857923,2.2295081967213113
Bottrop,2021,16.51396648044693,,13.945205479452055,2.461917808219178
Bottrop,2022,17.47008547008547,,15.826849315068493,2.0786301369863014
Bottrop,2023,15.674094707520892,8.32,15.494520547945205,3.487945205479452
Bottrop,2024,15.398891966759003,10.12087912087912,15.387431693989072,3.1505464480874315
Bottrop,2025,16.947222222222223,10.967836257309942,15.507397260273972,2.172328767123288
Braunschweig,2016,17.031420765027324,13.191176470588236,13.689071038251365,1.5062841530054643
Braunschweig,2017,17.475342465753425,12.545722713864306,13.49123287671233,2.5178082191780824
Braunschweig,2018,18.076712328767123,12.23728813559322,15.295616438356163,1.3506849315068492
Braunschweig,2019,15.008219178082191,9.660112359550562,14.947123287671232,1.903835616438356
