date,value
2017-11,30.326474159727887
2017-12,34.83061906761363
2018-01,34.872469836018595
2018-02,17.692519130397095
2018-03,17.72728610094102
2018-04,18.458680721181715
2018-05,14.380411827090297
2018-06,9.308198724265441
2018-07,13.488407266039411
2018-08,13.452600618026938
2018-09,15.681667317581514
2018-10,23.11033166459457
2018-11,24.101099723671314
2018-12,33.201121671541756
2019-01,31.35988743772185
2019-02,35.371968302244376
2019-03,24.57500830494066
2019-04,20.58078672371765
2019-05,12.154568734581106
2019-06,25.44882174620732
2019-07,19.696773478640594
2019-08,20.143074315065004
2019-09,18.999403055695716
2019-10,24.1733156772248
2019-11,18.830319918597546
2019-12,30.263003922532715
2020-01,41.95369591270339
2020-02,29.48343062132683
2020-03,26.10303302995685
2020-04,18.42736283680022
2020-05,17.70515386136262
2020-06,15.524130789899145
2020-07,20.21604076571678
2020-08,19.729827886796976
2020-09,17.996477497321735
2020-10,15.908050723671636
2020-11,26.444388614607043
2020-12,23.11282210069897
2021-01,24.885340595638773
2021-02,30.47894736506043
2021-03,22.17792278127226
2021-04,17.22327688024193
2021-05,16.687673838947386
2021-06,26.361767931556646
2021-07,21.129341748948868
2021-08,22.47235679737056
2021-09,22.183593965152944
2021-10,18.025540831463523
2021-11,19.29202891703107
2021-12,20.861169361727477
2022-01,26.69603057482613
2022-02,22.30289168224935
2022-03,27.952209415840894
2022-04,17.191764356247575
2022-05,20.52114871118905
2022-06,24.320332666632506
2022-07,19.886757019858813
2022-08,16.274091936867453
2022-09,14.152238616266114
2022-10,24.10783319503279
2022-11,19.00053682383248
2022-12,28.860915417079426
2023-01,23.12699860099001
2023-02,38.58032873396108
2023-03,20.883293556313966
2023-04,13.888890731586162
2023-05,15.153860341717294
2023-06,16.79269994478289
2023-07,25.349042265238875
2023-08,19.471872497180183
2023-09,20.918132383382968
2023-10,22.121555931425544
2023-11,19.498170513760005
2023-12,28.872813010634886
2024-01,27.47125515422787
2024-02,33.26587615544217
2024-03,22.069295724768033
2024-04,16.71408921928564
2024-05,14.43231032143842
2024-06,18.50342857259186
2024-07,19.8638570224781
2024-08,21.010973712673337
2024-09,20.852726487735346
2024-10,19.089623657711382
2024-11,29.120492921401542
2024-12,30.11810638645958
2025-01,26.87964091433673
2025-02,28.001016527203692
2025-03,23.40663147875037
2025-04,18.930358101293937
2025-05,14.54284776378995
2025-06,23.937610793368258
2025-07,14.842080880809931
2025-08,17.678988749270825
2025-09,16.041551825021514
2025-10,20.630956942987773
2025-11,23.280752472461607
2025-12,28.960541460782306
2026-01,29.037496820968208
2026-02,23.002587626768776
