date,france_no2_mean
2017-11-01,26.904761904761905
2017-11-02,38.395348837209305
2017-11-05,11.225
2017-11-06,14.9
2017-11-07,15.902439024390244
2017-11-08,28.048780487804876
2017-11-09,32.02325581395349
2017-11-13,15.585365853658537
2017-11-14,28.0
2017-11-15,30.8
2017-11-16,31.651162790697676
2017-11-20,32.951219512195124
2017-11-21,37.0
2017-11-22,40.904761904761905
2017-11-23,34.75675675675676
2017-11-27,28.595238095238095
2017-11-28,38.0
2017-11-29,36.07142857142857
2017-11-30,33.48780487804878
2017-12-03,29.5
2017-12-04,41.675
2017-12-06,41.1219512195122
2017-12-10,24.951219512195124
2017-12-12,30.853658536585368
2017-12-13,33.7906976744186
2017-12-14,30.571428571428573
2017-12-17,27.547619047619047
2017-12-20,41.97560975609756
2017-12-21,44.26190476190476
2017-12-22,26.5
2017-12-23,40.51162790697674
2017-12-26,26.615384615384617
2017-12-27,24.142857142857142
2017-12-28,17.80952380952381
2018-01-01,27.52504418522446
2018-01-02,27.104574169791565
2018-01-03,35.18878755683676
2018-01-04,37.32674571805007
2018-01-07,29.665402763734413
2018-01-08,24.968119499800306
2018-01-09,28.11747244448729
2018-01-10,33.73831146424315
2018-01-14,27.39490859970712
2018-01-15,29.27714842524625
2018-01-16,32.31818966058096
2018-01-17,26.226451889495372
2018-01-21,33.642857142857146
2018-01-22,38.42857142857143
2018-01-23,32.825
2018-01-24,35.85
2018-01-25,38.166666666666664
2018-01-28,27.738095238095237
2018-01-29,4.846181508176393
2018-01-30,13.555006781768402
2018-01-31,16.24673459091066
2018-02-01,26.29280632411067
2018-02-02,-6.952063362258265
2018-02-03,20.191472567287782
2018-02-04,-18.875229052140597
2018-02-05,6.860446570972886
2018-02-06,-1.3168739508762135
2018-02-07,1.4810495033382178
2018-02-08,1.4075944207233893
2018-02-09,9.060919233745322
2018-02-10,4.698631239935587
2018-02-11,4.858695652173913
2018-02-12,12.481999341238472
2018-02-14,14.637608172825564
2018-02-15,-11.256340579710145
2018-02-16,43.104247888968736
2018-02-17,46.37647058823529
2018-02-18,-1.2633147051963363
2018-02-19,27.578695861304556
2018-02-21,-25.190217391304348
2018-02-22,10.054388910894426
2018-02-23,3.451028126606447
2018-02-24,-12.815705128205128
2018-02-25,-62.01811594202899
2018-02-26,-30.743630078899944
2018-02-27,-23.72549019607843
2018-02-28,-24.525641025641026
2018-03-01,4.469183678391717
2018-03-02,9.324717349494406
2018-03-03,46.13221628388464
2018-03-04,2.6357886904761907
2018-03-05,-19.196557971014492
2018-03-06,45.7193165893408
2018-03-07,13.509881675496285
2018-03-08,7.336602061884398
2018-03-09,8.029325567772075
2018-03-10,28.511946892002502
2018-03-11,-8.040604697651176
2018-03-12,4.2973292394206934
2018-03-13,16.197714678756878
2018-03-14,7.300667222270484
2018-03-15,-5.858581590294458
2018-03-17,-26.192307692307693
2018-03-18,-22.036458333333332
2018-03-19,11.179487179487179
2018-03-20,4.190356849059762
2018-03-21,-5.597097219666834
2018-03-22,26.45147414697104
2018-03-23,-35.09509154040404
2018-03-24,-16.257246376811594
2018-03-25,-25.434782608695652
2018-03-26,6.895597451394552
2018-03-27,27.9195128159061
2018-03-28,7.945970938746655
2018-03-29,-10.365191511387163
2018-03-30,-10.145833333333334
2018-03-31,-27.78768948858904
2018-04-01,10.170133007089529
2018-04-02,-21.94034090909091
2018-04-03,-7.978938653938655
2018-04-04,-8.223351305943176
2018-04-05,-1.8525280898876408
2018-04-06,4.366898697116088
2018-04-07,2.129376323074418
2018-04-08,-11.005970026350461
2018-04-09,7.587264150943396
2018-04-10,-8.226716798101751
2018-04-11,-4.6072114519322245
2018-04-12,-1.7071459253095402
2018-04-13,-5.428591295982599
2018-04-14,-6.21604267310789
2018-04-15,20.054516346477925
2018-04-16,-1.2017790262172283
2018-04-17,-2.88568881994627
2018-04-18,22.301136363636363
2018-04-19,-4.459470560978544
2018-04-20,2.791466475048376
2018-04-21,0.2768073565556401
2018-04-22,-7.4797171766517145
2018-04-23,20.121905899964545
2018-04-24,-0.9983795592491245
2018-04-25,-4.585728663446055
2018-04-26,13.724301242236026
2018-04-27,-12.855555555555556
2018-04-28,-13.555253623188404
2018-04-29,12.263792819499342
2018-04-30,-18.486789610812572
2018-05-01,-10.321080368906456
2018-05-02,-12.104432243912058
2018-05-03,-7.098456615847921
2018-05-04,-1.7776041666666669
2018-05-05,-8.69329307568438
2018-05-06,-39.94954618650271
2018-05-07,-30.05471149774139
2018-05-08,-9.420691751887404
2018-05-09,17.04544738500315
2018-05-10,18.440570192324145
2018-05-11,-6.804136874361593
2018-05-12,-11.91786761113825
2018-05-13,10.841169531513312
2018-05-14,-21.288041363456607
2018-05-15,-24.20037453183521
2018-05-16,-5.913847869106529
2018-05-17,-8.295970822045566
2018-05-18,16.44943820224719
2018-05-19,-21.57608695652174
2018-05-20,-11.817708333333334
2018-05-22,-47.796195652173914
2018-05-23,-13.135416666666666
2018-05-24,-11.1109920652544
2018-05-25,-11.752320468978994
2018-05-26,-14.842712999560826
2018-05-27,-18.611820546603155
2018-05-28,-18.374804724261246
2018-05-29,-21.000848817044467
2018-05-30,-10.073619885214088
2018-05-31,-7.756298449612403
2018-06-01,-14.716646537842191
2018-06-02,-0.7819089726698427
2018-06-03,-22.886623804111014
2018-06-04,-21.242381198347108
2018-06-05,-22.084353978013397
2018-06-06,6.254102497388942
2018-06-07,-15.31828978187674
2018-06-08,-33.306215161649945
2018-06-09,-31.752433757868538
2018-06-10,-21.9543961352657
2018-06-11,-9.455065359477123
2018-06-12,-23.921121306230003
2018-06-13,-38.08135155906895
2018-06-14,-24.05682393291089
2018-06-15,-12.052088374875641
2018-06-16,-16.447690217391305
2018-06-17,7.4147727272727275
2018-06-18,-13.573309747432555
2018-06-19,-5.679972342472342
2018-06-20,-5.192027835288704
2018-06-21,-10.666906748645879
2018-06-22,-8.199130800761235
2018-06-23,-7.292330917874396
2018-06-24,-16.285668276972626
2018-06-25,-17.476894409937888
2018-06-26,-16.309190246146766
2018-06-27,-26.059757837721225
2018-06-28,-20.69264138607388
2018-06-29,-14.558416180790386
2018-06-30,-14.731113672961497
2018-07-01,-2.5771263958184845
2018-07-02,-40.10769836041575
2018-07-03,-53.64818029739845
2018-07-04,7.791848550000724
2018-07-05,-31.5648902402419
2018-07-06,-20.118280384756357
2018-07-07,-10.906652011073115
2018-07-08,-27.438282279314887
2018-07-09,-17.459158981115504
2018-07-10,10.303847420695247
2018-07-11,7.628065774804905
2018-07-12,-8.494776387058996
2018-07-13,-25.85522425878564
2018-07-14,-29.000144104084324
2018-07-15,-44.58774779277028
2018-07-16,-25.06482049324194
2018-07-17,-23.53370786516854
2018-07-18,-0.9211639098949079
2018-07-19,19.507690657842325
2018-07-20,-16.509095435668662
2018-07-21,-18.684845870715435
2018-07-22,-23.942811264822137
2018-07-23,-17.105135379194977
2018-07-24,-9.354286951642024
2018-07-25,-17.249219650081717
2018-07-26,-18.062318312249662
2018-07-27,11.984775641025642
2018-07-28,4.466914569031274
2018-07-29,6.230699554069119
2018-07-30,-18.42509727934599
2018-07-31,-13.262723246962377
