date,france_pm10_mean
2017-11-01,28.13953488372093
2017-11-02,39.0
2017-11-05,38.875
2017-11-06,7.804878048780488
2017-11-07,9.095238095238095
2017-11-08,17.642857142857142
2017-11-09,29.818181818181817
2017-11-13,5.7560975609756095
2017-11-14,17.023809523809526
2017-11-15,22.571428571428573
2017-11-16,26.976190476190474
2017-11-20,42.372093023255815
2017-11-21,45.22727272727273
2017-11-22,55.11363636363637
2017-11-23,79.1025641025641
2017-11-27,16.74418604651163
2017-11-28,24.333333333333332
2017-11-29,40.73170731707317
2017-11-30,29.875
2017-12-03,26.5
2017-12-04,33.853658536585364
2017-12-06,42.95238095238095
2017-12-10,13.05
2017-12-12,30.5
2017-12-13,35.68292682926829
2017-12-14,37.41860465116279
2017-12-17,30.195121951219512
2017-12-20,51.55
2017-12-21,53.70454545454545
2017-12-23,43.16279069767442
2017-12-26,62.15
2017-12-27,21.071428571428573
2017-12-28,5.837209302325581
2018-01-01,42.23809523809524
2018-01-02,22.317073170731707
2018-01-03,21.069767441860463
2018-01-04,29.404761904761905
2018-01-07,48.72093023255814
2018-01-08,34.75
2018-01-09,31.372093023255815
2018-01-10,22.023255813953487
2018-01-14,35.88636363636363
2018-01-15,42.52272727272727
2018-01-16,45.02439024390244
2018-01-17,23.390243902439025
2018-01-21,38.88636363636363
2018-01-22,39.45454545454545
2018-01-23,42.69047619047619
2018-01-24,49.595238095238095
2018-01-25,57.55813953488372
2018-01-28,26.127906976744185
2018-01-29,23.325581395348838
2018-01-30,21.103448275862068
2018-01-31,34.86046511627907
2018-02-01,15.305882352941177
2018-02-02,9.69047619047619
2018-02-03,2.788235294117647
2018-02-04,8.25287356321839
2018-02-05,13.104651162790697
2018-02-06,-2.284090909090909
2018-02-07,21.302325581395348
2018-02-08,2.2941176470588234
2018-02-09,16.313953488372093
2018-02-10,6.72093023255814
2018-02-11,20.86046511627907
2018-02-12,29.166666666666668
2018-02-13,-0.5
2018-02-14,13.505882352941176
2018-02-16,44.64772727272727
2018-02-18,30.186046511627907
2018-02-19,17.558139534883722
2018-02-20,-32.18181818181818
2018-02-21,12.454545454545455
2018-02-22,-12.44186046511628
2018-02-23,15.25
2018-02-24,-7.2727272727272725
2018-02-25,-5.25
2018-02-26,25.96923076923077
2018-02-27,-8.875
2018-02-28,30.785714285714285
2018-03-01,41.0
2018-03-02,51.13636363636363
2018-03-03,6.825
2018-03-04,-55.20454545454545
2018-03-05,9.0
2018-03-06,9.868421052631579
2018-03-07,-0.11627906976744186
2018-03-08,15.162790697674419
2018-03-09,22.51923076923077
2018-03-10,12.840909090909092
2018-03-11,0.2413793103448276
2018-03-12,22.329545454545453
2018-03-13,25.19736842105263
2018-03-14,-2.6744186046511627
2018-03-15,19.071428571428573
2018-03-16,8.5
2018-03-17,11.625
2018-03-20,5.2
2018-03-21,27.162790697674417
