city,population,lat,lon,date,peak_temperature,precipitation_mm
Oberhausen,219176,51.493847,6.8478265,2016-03-29,11.4,2.1
Oberhausen,219176,51.493847,6.8478265,2016-03-30,11.8,4.3
Oberhausen,219176,51.493847,6.8478265,2016-03-31,9.5,1.4
Oberhausen,219176,51.493847,6.8478265,2016-04-01,12.7,0.1
Oberhausen,219176,51.493847,6.8478265,2016-04-02,15.9,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-03,19.4,0.5
Oberhausen,219176,51.493847,6.8478265,2016-04-04,15.8,0.9
Oberhausen,219176,51.493847,6.8478265,2016-04-05,13.3,3.5
Oberhausen,219176,51.493847,6.8478265,2016-04-06,13.7,1.7
Oberhausen,219176,51.493847,6.8478265,2016-04-07,11.1,1.3
Oberhausen,219176,51.493847,6.8478265,2016-04-08,11.6,1.3
Oberhausen,219176,51.493847,6.8478265,2016-04-09,14.0,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-10,15.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-11,17.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-12,16.7,2.4
Oberhausen,219176,51.493847,6.8478265,2016-04-13,14.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-14,15.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-15,15.0,5.1
Oberhausen,219176,51.493847,6.8478265,2016-04-16,14.1,3.9
Oberhausen,219176,51.493847,6.8478265,2016-04-17,10.6,0.8
Oberhausen,219176,51.493847,6.8478265,2016-04-18,12.5,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-19,12.5,0.2
Oberhausen,219176,51.493847,6.8478265,2016-04-20,12.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-21,16.7,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-22,13.1,0.0
Oberhausen,219176,51.493847,6.8478265,2016-04-23,9.3,0.3
Oberhausen,219176,51.493847,6.8478265,2016-04-24,8.3,2.2
Oberhausen,219176,51.493847,6.8478265,2016-04-25,8.5,6.0
Oberhausen,219176,51.493847,6.8478265,2016-04-26,8.2,3.4
Oberhausen,219176,51.493847,6.8478265,2016-04-27,9.2,7.7
Oberhausen,219176,51.493847,6.8478265,2016-04-28,10.3,2.8
Oberhausen,219176,51.493847,6.8478265,2016-04-29,10.5,3.9
