date,france_pm10_mean
2020-04-19,15.47079155
2020-04-20,12.541978631958001
2020-04-21,11.64514344474401
2020-04-22,14.698343082651006
2020-04-23,17.038842830357563
2020-04-24,17.960237206679754
2020-04-25,11.270987851418369
2020-04-26,9.533230295246666
2020-04-27,16.81171845237917
2020-04-28,16.6031844752866
2020-04-29,16.64439509756334
2020-04-30,16.30158996288346
2020-05-01,13.198464693129917
2020-05-02,10.984571261815525
2020-05-03,10.129360372496693
2020-05-04,12.958239343624799
2020-05-05,14.749628551934707
2020-05-06,13.448746059817076
2020-05-07,10.811157261302084
2020-05-08,17.233536860356228
2020-05-09,16.348490071254137
2020-05-10,14.73137883406419
2020-05-11,17.031238147181114
2020-05-12,16.006249455497592
2020-05-13,16.071970289701756
2020-05-14,16.041554728936497
2020-05-15,16.844971503538844
2020-05-16,13.046719418454163
2020-05-17,12.59671329983647
2020-05-18,16.720071597686044
2020-05-19,21.66667918859191
2020-05-20,17.286373345185456
2020-05-21,13.280170943983402
2020-05-22,15.127095171794341
2020-05-23,14.533599824729313
2020-05-24,13.665330678893797
2020-05-25,15.91129067860676
2020-05-26,16.455035586262788
2020-05-27,15.958563948263834
2020-05-28,15.594952187935727
2020-05-29,17.445634441285733
2020-05-30,12.543978856542553
2020-06-01,12.924426513981956
2020-06-02,15.119046139180007
2020-06-03,16.838483364085317
2020-06-04,17.39052642212267
2020-06-05,18.581655807565213
2020-06-06,17.77114350139175
2020-06-07,14.84086959505197
2020-06-08,14.269413846279907
2020-06-09,18.145842311141518
2020-06-10,16.581774067772216
2020-06-11,15.27377574341609
2020-06-12,16.803979055023543
2020-06-13,13.773447044576468
2020-06-14,13.062310906700146
2020-06-15,15.558287095614029
2020-06-16,16.27553045240439
2020-06-17,16.721054838335917
2020-06-18,16.192907100697628
2020-06-19,16.013491698662598
2020-06-20,13.203937795572172
2020-06-21,12.378825858603067
2020-06-22,15.23195642489842
2020-06-23,17.307913213464452
2020-06-24,16.07308548351544
2020-06-25,16.724177848299895
2020-06-26,17.285677695337508
2020-06-27,16.612407318981518
2020-06-28,15.445831678228771
2020-06-29,18.414178725387927
2020-06-30,17.459660567655945
2020-07-01,17.740837309610754
2020-07-02,17.743690613075486
2020-07-03,14.488673373844698
2020-07-04,13.733936096374311
2020-07-05,11.94502405969769
2020-07-06,14.750713999101125
2020-07-07,14.309939943493521
2020-07-08,14.339796326366407
2020-07-09,17.819370385984485
2020-07-10,16.938016070885354
2020-07-11,15.501838359306547
2020-07-12,12.451618022736929
2020-07-13,12.550838832263901
2020-07-14,16.539560302875337
2020-07-15,17.512847974884004
2020-07-16,18.0228344547024
2020-07-17,17.140007099587613
2020-07-18,14.538282431259411
2020-07-19,12.943861952641276
2020-07-20,15.038668361351682
2020-07-21,18.015535506975155
2020-07-22,17.753017119535993
2020-07-23,17.48468642491106
2020-07-24,17.769878333640307
2020-07-25,16.819829431780267
2020-07-26,17.840389489849535
2020-07-27,22.26110260633435
2020-07-28,31.986504910681322
2020-07-29,25.713916431031244
2020-07-30,25.825165115250897
2020-08-03,25.328090505
2020-08-04,14.418101014188323
2020-08-06,19.68263922010632
2020-08-07,18.93558303463892
2020-08-08,16.126384730282343
2020-08-09,13.716464826477251
2020-08-10,18.2700900349703
2020-08-11,18.14944923005822
2020-08-12,18.342760446414164
2020-08-13,18.87365957530913
2020-08-14,19.382236326911226
2020-08-15,14.157486339362443
2020-08-16,14.101127150524267
2020-08-17,17.995543640121152
2020-08-18,19.22658216284104
2020-08-19,17.535438029152683
2020-08-20,16.921522472518465
2020-08-21,19.922500307627697
2020-08-22,18.172761077124434
2020-08-23,14.463132777410973
2020-08-24,16.562762985987735
2020-08-25,15.985500828935363
2020-08-26,17.922900898992822
2020-08-27,18.68370330972493
2020-08-28,21.171305759606028
2020-08-29,16.046539070217225
2020-08-30,13.804302535365762
2020-08-31,22.684865035782817
2020-09-01,19.5489306794135
2020-09-02,18.24602728545858
2020-09-03,18.455188343977888
2020-09-04,12.764029197590908
2020-09-05,15.853231911456161
2020-09-06,17.73698982007914
2020-09-07,21.87549455611246
2020-09-08,18.023104929305845
2020-09-09,20.746344557267033
2020-09-10,22.21324313456271
2020-09-11,20.66584415062301
2020-09-12,17.298719467262888
2020-09-13,18.4876678566843
2020-09-14,23.17877172152611
2020-09-15,20.55941202987378
2020-09-16,21.392133161286587
2020-09-17,23.58367531324942
2020-09-18,16.084847259019295
2020-09-19,16.780039926675908
2020-09-20,18.334549895189458
2020-09-21,23.481249283065296
2020-09-22,22.915702028027443
2020-09-23,23.155873322857463
2020-09-24,24.383333652922776
2020-09-25,21.5877369257821
2020-09-26,14.520944951119512
2020-09-27,15.363000988543618
2020-09-28,20.80201719296012
2020-09-29,18.07462861900604
2020-09-30,18.307797417464407
2020-10-01,19.218017043857557
2020-10-02,23.147085205727425
2020-10-03,20.21195466629284
2020-10-04,15.95330982158046
2020-10-05,21.762518405099676
2020-10-06,22.24489730413724
2020-10-07,21.074896837317006
2020-10-08,18.077655914659168
2020-10-09,20.18720536783417
2020-10-10,17.96571075802812
2020-10-11,17.477143046842944
2020-10-12,19.51542823588856
2020-10-13,15.420797004355272
2020-10-14,20.564970528633946
2020-10-15,24.811830563302735
2020-10-16,26.135786150157532
2020-10-17,15.056920890468312
2020-10-18,14.47259612379488
2020-10-19,23.863854766823724
2020-10-20,26.894683716699806
2020-10-21,27.387086780403386
2020-10-22,30.582408791289826
2020-10-23,32.67546954623402
2020-10-24,30.784849526733886
2020-10-25,20.197547543275267
2020-10-26,23.53915450648293
2020-10-27,23.46493011856615
2020-10-28,24.00895391008276
2020-10-29,23.34785708283907
2020-10-30,22.468916815227338
2020-10-31,17.868651123462747
2020-11-01,18.83989184391503
2020-11-02,27.89202050783695
2020-11-03,25.927293817807016
2020-11-04,23.397605982678275
2020-11-05,23.916753486191386
2020-11-06,22.889367220742553
2020-11-07,18.117055318446997
2020-11-08,21.624549625674778
2020-11-09,22.915943238734016
2020-11-10,20.476183542362154
2020-11-11,21.290828062569094
2020-11-12,23.070061739774037
2020-11-13,25.530530631223346
2020-11-14,23.924593196201712
2020-11-15,22.474664173673347
2020-11-16,28.153372210627918
2020-11-17,28.509219799394522
2020-11-18,22.30819058162024
2020-11-19,21.43923668296201
2020-11-20,21.994793045406258
2020-11-21,17.498960713470463
2020-11-22,17.704634822465056
2020-11-23,27.171960769495
2020-11-24,26.90562011323796
2020-11-25,31.79285479907824
2020-11-26,33.128352034925555
2020-11-27,29.995525702777943
2020-11-28,23.35389189167607
2020-11-29,19.837629511113093
2020-11-30,20.977187987415153
2020-12-01,20.251738029039142
2020-12-02,25.766240360765547
2020-12-03,21.892451048793106
2020-12-04,23.85882782240296
2020-12-05,16.07273971384267
2020-12-06,13.83885254810201
2020-12-07,16.744769131699492
2020-12-08,20.284014412001564
2020-12-09,20.905273887394838
2020-12-10,23.491026689405476
2020-12-11,21.24658572796181
2020-12-13,15.15726855728972
2020-12-14,18.87879176932792
2020-12-15,21.050864826440446
2020-12-16,21.15087653029334
2020-12-17,23.254616218319754
2020-12-18,21.825357328320855
2020-12-19,23.258188908689526
2020-12-20,20.68952199169951
2020-12-21,23.256903722229016
2020-12-22,26.387540120260812
2020-12-23,24.833895107776634
2020-12-24,26.925207166313967
2020-12-25,21.088511714203733
2020-12-26,14.109033660824265
2020-12-27,11.804555648603603
2020-12-29,33.15319026926745
2020-12-30,30.241124746125294
2020-12-31,25.930478823745833
2021-01-01,17.055401699413736
2021-01-02,18.323992391913045
2021-01-03,19.440638881299492
