Bundesland,start,end
Baden-Württemberg,2021-07-29,2021-09-11
Bayern,2021-07-30,2021-09-13
Berlin,2021-06-24,2021-08-06
Brandenburg,2021-06-24,2021-08-07
Bremen,2021-07-22,2021-09-01
Hamburg,2021-06-24,2021-08-04
Hessen,2021-07-19,2021-08-27
Mecklenburg-Vorpommern,2021-06-21,2021-07-31
Niedersachsen,2021-07-22,2021-09-01
Nordrhein-Westfalen,2021-07-05,2021-08-17
Rheinland-Pfalz,2021-07-19,2021-08-27
Saarland,2021-07-19,2021-08-27
Sachsen,2021-07-26,2021-09-03
Sachsen-Anhalt,2021-07-22,2021-09-01
Schleswig-Holstein,2021-06-21,2021-07-31
Thüringen,2021-07-26,2021-09-04
