Bundesland,start,end
Baden-Württemberg,2024-07-25,2024-09-07
Bayern,2024-07-29,2024-09-09
Berlin,2024-07-18,2024-08-30
Brandenburg,2024-07-18,2024-08-31
Bremen,2024-06-24,2024-08-02
Hamburg,2024-07-18,2024-08-28
Hessen,2024-07-15,2024-08-23
Mecklenburg-Vorpommern,2024-07-22,2024-08-31
Niedersachsen,2024-06-24,2024-08-03
Nordrhein-Westfalen,2024-07-08,2024-08-20
Rheinland-Pfalz,2024-07-15,2024-08-23
Saarland,2024-07-15,2024-08-23
Sachsen,2024-06-20,2024-08-02
Sachsen-Anhalt,2024-06-24,2024-08-03
Schleswig-Holstein,2024-07-22,2024-08-31
Thüringen,2024-06-20,2024-07-31
