Bundesland,start,end
Baden-Württemberg,2022-07-28,2022-09-10
Bayern,2022-08-01,2022-09-12
Berlin,2022-07-07,2022-08-19
Brandenburg,2022-07-07,2022-08-20
Bremen,2022-07-14,2022-08-24
Hamburg,2022-07-07,2022-08-17
Hessen,2022-07-25,2022-09-02
Mecklenburg-Vorpommern,2022-07-04,2022-08-13
Niedersachsen,2022-07-14,2022-08-24
Nordrhein-Westfalen,2022-06-27,2022-08-09
Rheinland-Pfalz,2022-07-25,2022-09-02
Saarland,2022-07-25,2022-09-02
Sachsen,2022-07-18,2022-08-26
Sachsen-Anhalt,2022-07-14,2022-08-24
Schleswig-Holstein,2022-07-04,2022-08-13
Thüringen,2022-07-18,2022-08-27
