Bundesland,start,end
Baden-Württemberg,2017-07-27,2017-09-09
Bayern,2017-07-29,2017-09-11
Berlin,2017-07-20,2017-09-01
Brandenburg,2017-07-20,2017-09-01
Bremen,2017-06-22,2017-08-02
Hamburg,2017-07-20,2017-08-30
Hessen,2017-07-03,2017-08-11
Mecklenburg-Vorpommern,2017-07-24,2017-09-02
Niedersachsen,2017-06-22,2017-08-02
Nordrhein-Westfalen,2017-07-17,2017-08-29
Rheinland-Pfalz,2017-07-03,2017-08-11
Saarland,2017-07-03,2017-08-14
Sachsen,2017-06-26,2017-08-04
Sachsen-Anhalt,2017-06-26,2017-08-09
Schleswig-Holstein,2017-07-24,2017-09-02
Thüringen,2017-06-26,2017-08-09
