Bundesland,start,end
Baden-Württemberg,2023-07-27,2023-09-09
Bayern,2023-07-31,2023-09-11
Berlin,2023-07-13,2023-08-25
Brandenburg,2023-07-13,2023-08-26
Bremen,2023-07-06,2023-08-16
Hamburg,2023-07-13,2023-08-23
Hessen,2023-07-24,2023-09-01
Mecklenburg-Vorpommern,2023-07-17,2023-08-26
Niedersachsen,2023-07-06,2023-08-16
Nordrhein-Westfalen,2023-06-22,2023-08-04
Rheinland-Pfalz,2023-07-24,2023-09-01
Saarland,2023-07-24,2023-09-01
Sachsen,2023-07-10,2023-08-18
Sachsen-Anhalt,2023-07-06,2023-08-16
Schleswig-Holstein,2023-07-17,2023-08-26
Thüringen,2023-07-10,2023-08-19
