Bundesland,start,end
Baden-Württemberg,2019-07-29,2019-09-10
Bayern,2019-07-29,2019-09-09
Berlin,2019-06-20,2019-08-02
Brandenburg,2019-06-20,2019-08-03
Bremen,2019-07-04,2019-08-14
Hamburg,2019-06-27,2019-08-07
Hessen,2019-07-01,2019-08-09
Mecklenburg-Vorpommern,2019-07-01,2019-08-10
Niedersachsen,2019-07-04,2019-08-14
Nordrhein-Westfalen,2019-07-15,2019-08-27
Rheinland-Pfalz,2019-07-01,2019-08-09
Saarland,2019-07-01,2019-08-09
Sachsen,2019-07-08,2019-08-16
Sachsen-Anhalt,2019-07-04,2019-08-14
Schleswig-Holstein,2019-07-01,2019-08-10
Thüringen,2019-07-08,2019-08-17
