Bundesland,start,end
Baden-Württemberg,2016-07-28,2016-09-10
Bayern,2016-07-30,2016-09-12
Berlin,2016-07-21,2016-09-02
Brandenburg,2016-07-21,2016-09-03
Bremen,2016-06-23,2016-08-03
Hamburg,2016-07-21,2016-08-31
Hessen,2016-07-18,2016-08-26
Mecklenburg-Vorpommern,2016-07-25,2016-09-03
Niedersachsen,2016-06-23,2016-08-03
Nordrhein-Westfalen,2016-07-11,2016-08-23
Rheinland-Pfalz,2016-07-18,2016-08-26
Saarland,2016-07-18,2016-08-27
Sachsen,2016-06-27,2016-08-05
Sachsen-Anhalt,2016-06-27,2016-08-10
Schleswig-Holstein,2016-07-25,2016-09-03
Thüringen,2016-06-27,2016-08-10
